route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7D,SH,7D-R14,Kampung Rambutan - Tegal Parang,1,,vbtc
7D,SH,7D-R15,Tegal Parang - Kampung Rambutan,0,,p3kb
7E,SH,7E-R01,Kampung Rambutan - Ragunan,0,,7E-R01_shp
7E,SH,7E-R05,Ragunan - Kampung Rambutan,1,,7E-R05_shp
7F,HK,7F-R05,Kampung Rambutan - Juanda,0,,14r8
7F,HK,7F-R06,Juanda - Kampung Rambutan,1,,3ggl
7P,SH,7P-R01,Pondok Kelapa - BKN,0,,7P-R01_shp
7P,SH,7P-R02,BKN - Pondok Kelapa,1,,7P-R02_shp
7Q,HK,7Q-R01,Blok M - PGC,0,,7Q-R01_shp
7Q,HK,7Q-R02,PGC - Blok M,1,,7Q-R02_shp
7ST,SH,7ST-L03,Kampung Melayu - Matraman 1 - Kampung Melayu,0,,7ST-L03_shp
8,SH,8-R03,Lebak Bulus - Pasar Baru,0,,8-R03_shp
8,SH,8-R04,Pasar Baru - Lebak Bulus,1,,8-R04_shp
8A,HM,8A-R03,Jelambar - Juanda,0,,e52d
8A,HM,8A-R04,Juanda - Jelambar,1,,w6vl
8C,SH,8C-R03,Kebayoran Lama - Tanah Abang,0,,asiw
8C,SH,8C-R04,Tanah Abang - Kebayoran Lama,1,,0mpt
8D,SH,8D-R01,Blok M - Joglo,0,,8D-R01_shp
8D,SH,8D-R02,Joglo - Blok M,1,,8D-R02_shp
8E,SH,8E-R01,Bintaro - Blok M,0,,8E-R01_shp
8E,SH,8E-R02,Blok M - Bintaro,1,,8E-R02_shp
8K,SH,8K-R05,Batu Sari - Jelambar,0,,gl7q
8K,SH,8K-R07,Jelambar - Batu Sari,1,,nvly
8M,SH,8M-R02,Tanah Abang - S. Parman,1,,8M-R02_shp
8M,SH,8M-R03,S. Parman - Tanah Abang,0,,rrvd
8ST,SH,8ST-R01,Senayan JCC - Slipi Kemanggisan,0,,84pc
8ST,SH,8ST-R02,Slipi Kemanggisan - Senayan JCC,0,,jkpe
9,SH,9-R01,Pinang Ranti - Pluit,0,,9-R01_shp
9,SH,9-R02,Pluit - Pinang Ranti,1,,9-R02_shp
9A,SH,9A-R05,PGC 1 - Latumeten,0,,0swy
9A,SH,9A-R06,Latumeten - PGC 1,1,,kxq9
9C,SH,9C-R03,Pinang Ranti - Gelora Bung Karno,0,,181h
9C,SH,9C-R04,Polda Metro Jaya - Pinang Ranti,1,,czgt
9D,SH,9D-R03,Tanah Abang - Pasar Minggu,0,,9D-R03_shp
9D,SH,9D-R04,Pasar Minggu - Tanah Abang,1,,9D-R04_shp
9E,HK,9E-R01,Kebayoran Lama - Jelambar,0,,9E-R01_shp
9E,HK,9E-R03,Jelambar - Kebayoran Lama,1,,zl3f
